                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.2101,                 1.8451,                 1.4004,                0.47205,                0.32761,                0.32367,                0.14667,                 2.0811,                 1.6681,                  1.358,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.2675,                  1.881,                 1.4066,                0.46052,                0.34364,                0.33059,                0.15139,                 2.0694,                 1.6507,                 1.3539,               0.000317,               0.000317,               0.000317
                     87,                 2.2235,                 1.7981,                 1.3645,                0.46695,                0.33677,                0.33834,                0.15664,                  2.062,                  1.633,                 1.3527,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.2289,                 1.8161,                 1.4059,                0.47104,                0.33792,                0.33423,                0.15464,                 2.0519,                  1.641,                 1.3482,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.1939,                 1.8025,                 1.3749,                0.49942,                0.34021,                0.34285,                0.15992,                 2.0506,                  1.629,                 1.3487,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.1777,                 1.7684,                 1.3632,                0.45153,                0.35395,                0.34401,                0.16274,                 2.0457,                 1.6437,                 1.3524,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.1526,                 1.8716,                 1.3984,                0.46763,                 0.3425,                0.33858,                0.15761,                 2.0448,                  1.633,                 1.3466,               0.000218,               0.000218,               0.000218
                     92,                 2.1614,                 1.8198,                 1.3759,                0.47372,                0.33906,                0.33908,                0.15777,                 2.0398,                 1.6438,                 1.3382,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.2036,                 1.8799,                 1.3889,                0.45308,                0.34161,                 0.3286,                0.15429,                 2.0535,                 1.6506,                 1.3371,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.1826,                 1.7878,                 1.3704,                0.45057,                0.35624,                 0.3357,                0.15773,                 2.0429,                 1.6408,                 1.3373,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.1363,                  1.787,                 1.3783,                0.44462,                 0.3551,                0.33635,                0.16087,                 2.0378,                 1.6433,                   1.34,              0.0001388,              0.0001388,              0.0001388
                     96,                 2.1091,                 1.7313,                 1.3703,                0.45484,                0.35052,                0.33798,                0.16182,                 2.0217,                 1.6454,                 1.3323,               0.000119,               0.000119,               0.000119
                     97,                 2.1358,                 1.7528,                 1.3691,                0.46779,                 0.3551,                0.34155,                0.16421,                 2.0232,                 1.6386,                  1.327,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.1204,                 1.7511,                 1.3641,                0.46431,                0.35968,                0.34729,                0.16877,                  2.022,                 1.6184,                 1.3237,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.1488,                 1.7323,                 1.3618,                0.45767,                0.37915,                0.34992,                0.17016,                   2.02,                 1.6003,                 1.3208,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  2.126,                  1.733,                 1.3516,                0.45368,                 0.3862,                0.35266,                0.17147,                 2.0104,                 1.5892,                 1.3196,               3.98e-05,               3.98e-05,               3.98e-05
